referencia,abacco_id,linea,descripcion,iva,precio_unitario,cantidad,descuento,total_bruto
CO2607-5283,5934,1,"528 - BOX ENCAJONADO + MODELO MONACO MATRIMONIAL 1,40 x 1,90","0,00",1,,"0,00",
CO2607-5283,5934,2,5533 - CORTIJO,"55,00",1,,"55,00",
CO2607-5283,5934,3,475 - TRIGO,"0,00",1,,"0,00",
CO2607-5283,5934,4,"CAMAS - BOX ENCAJONADO + MODELO MONACO MATRIMONIAL 1,40 x 1,90 - CORTIJO - TRIGO - - -","540,00",1,25%,"405,00",
CO2607-5283,5934,5,DELIVERY -,"15,00",1,,"15,00",
CO2606-5226,5906,1,799 - DELUXE 2 PILLOW - COBARCA - QUEEN,"0,00",1,,"0,00",
CO2606-5226,5906,2,COLCHONES - DELUXE 2 PILLOW - COBARCA - QUEEN -,"490,00",1,,"490,00",
CO2606-5226,5906,3,DELIVERY -,"30,00",1,,"30,00",
CO2606-5210,5892,1,624 - GRANADA - LATINFLEX - QUEEN,"0,00",1,,"0,00",
CO2606-5210,5892,2,COLCHONES - GRANADA - LATINFLEX - QUEEN -,"395,00",1,,"395,00",
CO2606-5211,5893,1,785 - ECOFLEX 1 PILLOW - COBARCA - MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5211,5893,2,COLCHONES - ECOFLEX 1 PILLOW - COBARCA - MATRIMONIAL -,"295,00",1,,"295,00",
CO2606-5212,5894,1,"901 - BL + OSTRA sh INDIVIDUAL 1,00 x 1,90",,0.00,,,
CO2606-5212,5894,2,393 - OTTOMAN,,0.00,,,
CO2606-5212,5894,3,933 - ROSA BEBE,,0.00,,,
CO2606-5212,5894,4,"CAMAS - BL + OSTRA sh INDIVIDUAL 1,00 x 1,90 - OTTOMAN - ROSA BEBE - - -",,240.00,,,
CO2606-5213,5895,1,5504 - BL + LINEAL MIXTA MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5213,5895,2,393 - OTTOMAN,"0,00",1,,"0,00",
CO2606-5213,5895,3,450 - NEGRO,"0,00",1,,"0,00",
CO2606-5213,5895,4,408 - PATAS TIPO L,"0,00",1,,"0,00",
CO2606-5213,5895,5,705 - 2 ALMOHADA OBSEQUIO,"0,00",1,,"0,00",
CO2606-5213,5895,6,CAMAS - BL + LINEAL MIXTA MATRIMONIAL - OTTOMAN - NEGRO - PATAS TIPO L - 2 ALMOHADA OBSEQUIO -,"230,00",1,,"230,00",
CO2606-5213,5895,7,10002 - BAMBOO - MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5213,5895,8,COLCHONES - - BAMBOO - MATRIMONIAL,"200,00",1,,"200,00",
(PROV5896),5896,1,782 - ECOFLEX SIN PILLOW - COBARCA - MATRIMONIAL,,0.00,,,
(PROV5896),5896,2,COLCHONES - ECOFLEX SIN PILLOW - COBARCA - MATRIMONIAL -,,255.00,,,
CO2606-5250,5897,1,5504 - BL + LINEAL MIXTA MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5250,5897,2,402 - CAMELLO,"2,50",1,,"2,50",
CO2606-5250,5897,3,437 - GRIS CLARO,"0,00",1,,"0,00",
CO2606-5250,5897,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2606-5250,5897,5,"CAMAS - BL + LINEAL MIXTA MATRIMONIAL *copete de alto 1,05cm y empezar el diseño desde los 50cm hacia arriba* - CAMELLO - GRIS CLARO - PATAS DECORATIVAS - -","230,00",1,25%,"172,50",
(PROV5898),5898,1,"528 - BOX ENCAJONADO + MODELO MONACO MATRIMONIAL 1,40 x 1,90",,0.00,,,
(PROV5898),5898,2,383 - TAPI SWEET (CASTILLO),,0.00,,,
(PROV5898),5898,3,381 - BEIGE RATTAN,,0.00,,,
(PROV5898),5898,4,"CAMAS - BOX ENCAJONADO + MODELO MONACO lineal vertical MATRIMONIAL 1,40 x 1,90 - TAPI SWEET (CASTILLO) - BEIGE RATTAN - segunda opción de tela lino t kaki- - Imagen de referencia",,540.00,,,
CO2606-5224,5899,1,"01 - BOX SOLO INDIVIDUAL 1,00 x 1,90","0,00",1,,"0,00",
CO2606-5224,5899,2,390 - LINO,"0,00",1,,"0,00",
CO2606-5224,5899,3,450 - NEGRO,"0,00",1,,"0,00",
CO2606-5224,5899,4,"CAMAS - BOX SOLO INDIVIDUAL 1,00 x 1,90 - LINO - NEGRO - - -","150,00",1,,"150,00",
CO2606-5201,5888,1,"22 - BL + CAPITONEADO ESCONDIDO MATRIMONIAL 1,40 x 1,90","0,00",1,,"0,00",
CO2606-5201,5888,2,385 - BIPIEL,"0,00",1,,"0,00",
CO2606-5201,5888,3,427 - BLANCO,"0,00",1,,"0,00",
CO2606-5201,5888,4,704 - 1 ALMOHADA OBSEQUI,"0,00",1,,"0,00",
CO2606-5201,5888,5,"CAMAS - BL + CAPITONEADO ESCONDIDO MATRIMONIAL 1,40 x 1,90 - BIPIEL - BLANCO - - 1 ALMOHADA OBSEQUI - cama con copete modificado en tienda","230,00",1,,"230,00",
CO2606-5201,5888,6,10002 - BAMBOO - MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5201,5888,7,COLCHONES - - BAMBOO - MATRIMONIAL,"200,00",1,,"200,00",
CO2606-5202,5889,1,5050-52 - 5050-52 MAXEL New Toquio puertas corredizas 9 gavetas blanco con marron,"0,00",1,,"0,00",
CO2606-5202,5889,2,CLOSET - 5050-52 MAXEL New Toquio puertas corredizas 9 gavetas blanco con marron,"580,00",1,,"580,00",
CO2606-5202,5889,3,DELIVERY -,"20,00",1,,"20,00",
CO2606-5203,5890,1,37 - BL + LINEAL HORIZONTAL SIN MARCO INDIVIDUAL,"0,00",1,,"0,00",
CO2606-5203,5890,2,1039 - TRACKER,"30,00",1,,"30,00",
CO2606-5203,5890,3,443 - MARFIL,"0,00",1,,"0,00",
CO2606-5203,5890,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2606-5203,5890,5,CAMAS - BL + LINEAL HORIZONTAL SIN MARCO INDIVIDUAL - TRACKER - MARFIL - PATAS DECORATIVAS - -,"205,00",1,,"205,00",
CO2606-5203,5890,6,37 - BL + LINEAL HORIZONTAL SIN MARCO INDIVIDUAL,"0,00",1,,"0,00",
CO2606-5203,5890,7,1039 - TRACKER,"30,00",1,,"30,00",
CO2606-5203,5890,8,443 - MARFIL,"0,00",1,,"0,00",
CO2606-5203,5890,9,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2606-5203,5890,10,CAMAS - BL + LINEAL HORIZONTAL SIN MARCO INDIVIDUAL - TRACKER - MARFIL - PATAS DECORATIVAS - -,"205,00",1,,"205,00",
CO2606-5203,5890,11,39 - BL + LINEAL HORIZONTAL SIN MARCO QUEEN,"0,00",1,,"0,00",
CO2606-5203,5890,12,1039 - TRACKER,"50,00",1,,"50,00",
CO2606-5203,5890,13,443 - MARFIL,"0,00",1,,"0,00",
CO2606-5203,5890,14,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2606-5203,5890,15,CAMAS - BL + LINEAL HORIZONTAL SIN MARCO QUEEN - TRACKER - MARFIL - PATAS DECORATIVAS - -,"290,00",1,,"290,00",
CO2606-5204,5891,1,42 - BL + LINEAL VERTICAL SIN MARCO MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5204,5891,2,383 - TAPI SWEET (CASTILLO),"0,00",1,,"0,00",
CO2606-5204,5891,3,422 - BEIGE 1,"0,00",1,,"0,00",
CO2606-5204,5891,4,CAMAS - BL + LINEAL VERTICAL SIN MARCO MATRIMONIAL - TAPI SWEET (CASTILLO) - BEIGE 1 - imagen de referencia del color de tela,"230,00",1,,"230,00",
CO2606-5189,5872,1,"01 - BOX SOLO INDIVIDUAL 1,00 x 1,90","0,00",1,,"0,00",
CO2606-5189,5872,2,890 - TAPI POLO,"0,00",1,,"0,00",
CO2606-5189,5872,3,436 - GRIS,"0,00",1,,"0,00",
CO2606-5189,5872,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2606-5189,5872,5,"CAMAS - BOX SOLO INDIVIDUAL 1,00 x 1,90 - TAPI POLO - GRIS - PATAS DECORATIVAS - -","150,00",1,,"150,00",
CO2606-5189,5872,6,781 - ECOFLEX SIN PILLOW - COBARCA - INDIVIDUAL,"0,00",1,,"0,00",
CO2606-5189,5872,7,COLCHONES - ECOFLEX SIN PILLOW - COBARCA - INDIVIDUAL -,"210,00",1,,"210,00",
(PROV5873),5873,1,10003 - BAMBOO - INDIVIDUAL,,0.00,,,
(PROV5873),5873,2,COLCHONES - - BAMBOO - INDIVIDUAL,,170.00,,,
(PROV5873),5873,3,10003 - BAMBOO - INDIVIDUAL,,0.00,,,
(PROV5873),5873,4,COLCHONES - - BAMBOO - INDIVIDUAL,,170.00,,,
CO2606-5191,5874,1,41 - BL + LINEAL VERTICAL SIN MARCO INDIVIDUAL,"0,00",1,,"0,00",
CO2606-5191,5874,2,393 - OTTOMAN,"0,00",1,,"0,00",
CO2606-5191,5874,3,422 - BEIGE 1,"0,00",1,,"0,00",
CO2606-5191,5874,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2606-5191,5874,5,CAMAS - BL + LINEAL VERTICAL SIN MARCO INDIVIDUAL - OTTOMAN - BEIGE 1 - PATAS DECORATIVAS - -,"205,00",1,22%,"159,90",
CO2606-5192,5875,1,"02 - BOX SOLO MATRIMONIAL 1,40 x 1,90","0,00",1,,"0,00",
CO2606-5192,5875,2,393 - OTTOMAN,"0,00",1,,"0,00",
CO2606-5192,5875,3,444 - MARRON,"0,00",1,,"0,00",
CO2606-5192,5875,4,"CAMAS - BOX SOLO MATRIMONIAL 1,40 x 1,90 - OTTOMAN - MARRON - - -","165,00",1,25%,"123,75",
CO2606-5192,5875,5,42 - BL + LINEAL VERTICAL SIN MARCO MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5192,5875,6,393 - OTTOMAN,"0,00",1,,"0,00",
CO2606-5192,5875,7,731 - GRIS OSCURO,"0,00",1,,"0,00",
CO2606-5192,5875,8,CAMAS - BL + LINEAL VERTICAL SIN MARCO MATRIMONIAL - OTTOMAN - GRIS OSCURO - - -,"230,00",1,25%,"172,50",
CO2606-5193,5876,1,603 - SAINT MARTIN - LATINFLEX - MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5193,5876,2,COLCHONES - - SAINT MARTIN - LATINFLEX - MATRIMONIAL,"260,00",1,,"260,00",
(PROV5877),5877,1,1305-57 - 1305-57 MAXEL Porto 6 puertas 2 gavetas y 1 zapatera gris con marron,,0.00,,,
(PROV5877),5877,2,CLOSET - 1305-57 MAXEL Porto 6 puertas 2 gavetas y 1 zapatera gris con marron,,510.00,,,
CO2606-5194,5878,1,5050-1 - 5050-1 MAXEL New Toquio puertas corredizas 9 gavetas blanco,"0,00",1,,"0,00",
CO2606-5194,5878,2,CLOSET - 5050-1 MAXEL New Toquio puertas corredizas 9 gavetas blanco,"580,00",1,25%,"435,00",
CO2606-5195,5879,1,540 - SOFACAMA CLICK CLACK,"0,00",1,,"0,00",
CO2606-5195,5879,2,403 - LINO T,"0,00",1,,"0,00",
CO2606-5195,5879,3,439 - GRIS PLOMO,"0,00",1,,"0,00",
CO2606-5195,5879,4,411 - PATA SOFA CAMA METAL,"0,00",1,,"0,00",
CO2606-5195,5879,5,MUEBLES - SOFACAMA CLICK CLACK - LINO T - GRIS PLOMO - PATA SOFA CAMA METAL -,"455,00",1,,"455,00",
CO2606-5196,5880,1,7000-72 - 7000-72 DORIPEL Cancun 6 puertas 3 gavetas beige c/marron,"0,00",1,,"0,00",
CO2606-5196,5880,2,CLOSET - 7000-72 DORIPEL Cancun 6 puertas 3 gavetas beige c/marron,"375,00",1,,"375,00",
CO2606-5197,5881,1,5504 - BL + LINEAL MIXTA MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5197,5881,2,393 - OTTOMAN,"0,00",1,,"0,00",
CO2606-5197,5881,3,440 - KAKI,"0,00",1,,"0,00",
CO2606-5197,5881,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2606-5197,5881,5,705 - 2 ALMOHADA OBSEQUIO,"0,00",1,,"0,00",
CO2606-5197,5881,6,"CAMAS - BL + LINEAL MIXTA MATRIMONIAL - OTTOMAN - KAKI - PATAS DECORATIVAS - 2 ALMOHADA OBSEQUIO - *copete de un metro de alto, cliente: *adaptar al menos dos líneas en horizontal en ese espacio*","220,00",1,,"220,00",
CO2606-5197,5881,7,10002 - BAMBOO - MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5197,5881,8,COLCHONES - - BAMBOO - MATRIMONIAL- entregar con express hoy *08/06,"210,00",1,,"210,00",
CO2606-5198,5882,1,"10 - BL + BARCELONA MATRIMONIAL 1,40 x 1,90","0,00",1,,"0,00",
CO2606-5198,5882,2,393 - OTTOMAN,"0,00",1,,"0,00",
CO2606-5198,5882,3,418 - AZUL,"0,00",1,,"0,00",
CO2606-5198,5882,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2606-5198,5882,5,"CAMAS - BL + BARCELONA MATRIMONIAL 1,40 x 1,90 - OTTOMAN - AZUL - PATAS DECORATIVAS - - disponibilidad inmediata","230,00",1,,"230,00",
CO2606-5214,5883,1,10001 - SERTAFOAM - SERTA - MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5214,5883,2,COLCHONES - - SERTAFOAM - SERTA - MATRIMONIAL,"260,00",1,,"260,00",
CO2606-5199,5884,1,7000-72 - 7000-72 DORIPEL Cancun 6 puertas 3 gavetas beige c/marron,"0,00",1,,"0,00",
CO2606-5199,5884,2,CLOSET - 7000-72 DORIPEL Cancun 6 puertas 3 gavetas beige c/marron,"375,00",1,25%,"281,25",
CO2606-5200,5885,1,613 - CURACAO - LATINFLEX - MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5200,5885,2,COLCHONES - CURACAO - LATINFLEX - MATRIMONIAL -,"315,00",1,"23,8%","240,03",
CO2606-5300,5886,1,5504 - BL + LINEAL MIXTA MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5300,5886,2,402 - CAMELLO,"0,00",1,,"0,00",
CO2606-5300,5886,3,437 - GRIS CLARO,"0,00",1,,"0,00",
CO2606-5300,5886,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2606-5300,5886,5,705 - 2 ALMOHADA OBSEQUIO,"0,00",1,,"0,00",
CO2606-5300,5886,6,CAMAS - BL + LINEAL MIXTA MATRIMONIAL - CAMELLO - GRIS oscuro - PATAS DECORATIVAS - 2 ALMOHADA OBSEQUIO -,"230,00",1,,"230,00",
CO2606-5300,5886,7,782 - ECOFLEX SIN PILLOW - COBARCA - MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5300,5886,8,COLCHONES - ECOFLEX SIN PILLOW - COBARCA - MATRIMONIAL -,"255,00",1,,"255,00",
CO2606-5300,5886,9,DELIVERY -,"15,00",1,,"15,00",
CO2606-5222,5887,1,1999-1 - 1999-1 MAXEL Escocia 4 puertas 2 gavetas blanco,"0,00",1,,"0,00",
CO2606-5222,5887,2,CLOSET - 1999-1 MAXEL Escocia 4 puertas 2 gavetas blanco,"300,00",1,"24,99%","225,03",
CO2606-5222,5887,3,DELIVERY -,"15,00",1,,"15,00",
CO2606-5178,5867,1,782 - ECOFLEX SIN PILLOW - COBARCA - MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5178,5867,2,COLCHONES - ECOFLEX SIN PILLOW - COBARCA - MATRIMONIAL -,"255,00",1,"21,5%","200,18",
CO2606-5179,5868,1,"901 - BL + OSTRA sh INDIVIDUAL 1,00 x 1,90","0,00",1,,"0,00",
CO2606-5179,5868,2,393 - OTTOMAN,"0,00",1,,"0,00",
CO2606-5179,5868,3,437 - GRIS CLARO,"0,00",1,,"0,00",
CO2606-5179,5868,4,408 - PATAS TIPO L,"0,00",1,,"0,00",
CO2606-5179,5868,5,"CAMAS - BL + OSTRA sh INDIVIDUAL 1,00 x 1,90 - OTTOMAN - GRIS CLARO - PATAS TIPO L - -","240,00",1,,"240,00",
CO2606-5180,5869,1,1900-29 - 1900-29 JA Ropero Tokio 6 puertas 3 cajones beige con marron,"0,00",1,,"0,00",
CO2606-5180,5869,2,CLOSET - 1900-29 JA Ropero Tokio 6 puertas 3 cajones beige con marron,"595,00",1,,"595,00",
CO2606-5181,5870,1,"02 - BOX SOLO MATRIMONIAL 1,40 x 1,90","0,00",1,,"0,00",
CO2606-5181,5870,2,393 - OTTOMAN,"0,00",1,,"0,00",
CO2606-5181,5870,3,439 - GRIS PLOMO,"0,00",1,,"0,00",
CO2606-5181,5870,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2606-5181,5870,5,"CAMAS - BOX SOLO MATRIMONIAL 1,40 x 1,90 - OTTOMAN - GRIS PLOMO - PATAS DECORATIVAS URGENTE para entregar en Caracasa el miercoles 10/06 - -","165,00",1,"21,19%","130,04",
CO2606-5182,5871,1,781 - ECOFLEX SIN PILLOW - COBARCA - INDIVIDUAL,"0,00",1,,"0,00",
CO2606-5182,5871,2,COLCHONES - ECOFLEX SIN PILLOW - COBARCA - INDIVIDUAL -,"210,00",1,,"210,00",
(PROV5841),5841,1,1005 - 1 MESA DE NOCHE LAQUEADA,,0.00,,,
(PROV5841),5841,2,1- MESA DE NOCHE INTELIGENTE DE 3 GAVETAS COLOR NEGRA,,210.00,,,
CO2606-5205,5842,1,"01 - BOX SOLO INDIVIDUAL 1,00 x 1,90","0,00",1,,"0,00",
CO2606-5205,5842,2,890 - TAPI POLO,"0,00",1,,"0,00",
CO2606-5205,5842,3,438 - GRIS MEDIO,"0,00",1,,"0,00",
CO2606-5205,5842,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2606-5205,5842,5,"CAMAS - BOX SOLO INDIVIDUAL 1,00 x 1,90 - TAPI POLO - GRIS MEDIO - PATAS DECORATIVAS - -","150,00",1,,"150,00",
CO2606-5205,5842,6,614 - BAHAMAS PLUS - LATINFLEX - INDIVIDUAL,"0,00",1,,"0,00",
CO2606-5205,5842,7,COLCHONES - BAHAMAS PLUS - LATINFLEX - INDIVIDUAL -,"250,00",1,,"250,00",
CO2606-5160,5843,1,784 - ECOFLEX 1 PILLOW - COBARCA - INDIVIDUAL,"0,00",1,,"0,00",
CO2606-5160,5843,2,COLCHONES - ECOFLEX 1 PILLOW - COBARCA - INDIVIDUAL - undefined,"230,00",1,"15,2%","195,04",
CO2606-5161,5844,1,42 - BL + LINEAL VERTICAL SIN MARCO MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5161,5844,2,393 - OTTOMAN,"0,00",1,,"0,00",
CO2606-5161,5844,3,450 - NEGRO,"0,00",1,,"0,00",
CO2606-5161,5844,4,CAMAS - BL + LINEAL VERTICAL SIN MARCO MATRIMONIAL - OTTOMAN - NEGRO - - -,"230,00",1,,"230,00",
CO2606-5161,5844,5,44 - BL + LINEAL VERTICAL SIN MARCO KING,"0,00",1,,"0,00",
CO2606-5161,5844,6,393 - OTTOMAN,"0,00",1,,"0,00",
CO2606-5161,5844,7,450 - NEGRO,"0,00",1,,"0,00",
CO2606-5161,5844,8,CAMAS - BL + LINEAL VERTICAL SIN MARCO KING - OTTOMAN - NEGRO - - -,"345,00",1,,"345,00",
CO2606-5288,5845,1,7000-72 - 7000-72 DORIPEL Cancun 6 puertas 3 gavetas beige c/marron,"0,00",1,,"0,00",
CO2606-5288,5845,2,CLOSET - 7000-72 DORIPEL Cancun 6 puertas 3 gavetas beige c/marron,"375,00",1,,"375,00",
CO2606-5162,5846,1,5506 - BL + LINEAL MIXTA KING,"0,00",1,,"0,00",
CO2606-5162,5846,2,405 - ZAFIRO,"0,00",1,,"0,00",
CO2606-5162,5846,3,439 - GRIS PLOMO,"0,00",1,,"0,00",
CO2606-5162,5846,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2606-5162,5846,5,705 - 2 ALMOHADA OBSEQUIO,"0,00",1,,"0,00",
CO2606-5162,5846,6,CAMAS - BL + LINEAL MIXTA KING - ZAFIRO - GRIS PLOMO #5*** - PATAS DECORATIVAS - 2 ALMOHADA OBSEQUIO -,"365,00",1,25%,"273,75",
CO2606-5162,5846,7,633 - ROTTERDAM - LATINFLEX - KING,"0,00",1,,"0,00",
CO2606-5162,5846,8,COLCHONES - ROTTERDAM - LATINFLEX - KING -,"665,00",1,25%,"498,75",
CO2606-5162,5846,9,969 - MUEBLE VEGAS,"0,00",1,,"0,00",
CO2606-5162,5846,10,389 - GAMUZA ELEFANTE,"32,50",1,,"32,50",
CO2606-5162,5846,11,419 - AZUL MARINO,"0,00",1,,"0,00",
CO2606-5162,5846,12,408 - PATAS TIPO L,"0,00",1,,"0,00",
CO2606-5162,5846,13,MUEBLES - MUEBLE VEGAS - GAMUZA ELEFANTE - AZUL MARINO - PATAS TIPO L - cheilo derecho,"1 130,00",1,25%,"847,50",
CO2606-5162,5846,14,1008 - PAR DE MESAS DE NOCHE LAQUEADA,"0,00",1,,"0,00",
CO2606-5162,5846,15,PEINADORAS Y MESAS DE NOCHE - PAR DE MESAS DE NOCHE ***de luces*** LAQUEADA - gris con blanco **ver foto ref***,"250,00",1,25%,"187,50",
CO2606-5285,5847,1,532 - PUFF CUBO,"0,00",1,,"0,00",
CO2606-5285,5847,2,403 - LINO T,"0,00",1,,"0,00",
CO2606-5285,5847,3,448 - NARANJA,"0,00",1,,"0,00",
CO2606-5285,5847,4,408 - PATAS TIPO L,"0,00",1,,"0,00",
CO2606-5285,5847,5,MUEBLES - PUFF **puff Vegas*** LINO T - NARANJA - PATAS TIPO L -,"140,00",1,,"140,00",
CO2606-5207,5848,1,"01 - BOX SOLO INDIVIDUAL 1,00 x 1,90","0,00",1,,"0,00",
CO2606-5207,5848,2,393 - OTTOMAN,"0,00",1,,"0,00",
CO2606-5207,5848,3,450 - NEGRO,"0,00",1,,"0,00",
CO2606-5207,5848,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2606-5207,5848,5,"CAMAS - BOX SOLO INDIVIDUAL 1,00 x 1,90 - OTTOMAN - NEGRO - PATAS DECORATIVAS - di tienda","150,00",1,,"150,00",
CO2606-5207,5848,6,781 - ECOFLEX SIN PILLOW - COBARCA - INDIVIDUAL,"0,00",1,,"0,00",
CO2606-5207,5848,7,COLCHONES - ECOFLEX SIN PILLOW - COBARCA - INDIVIDUAL - di tiensa,"210,00",1,,"210,00",
CO2606-5163,5849,1,42 - BL + LINEAL VERTICAL SIN MARCO MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5163,5849,2,393 - OTTOMAN,"0,00",1,,"0,00",
CO2606-5163,5849,3,437 - GRIS CLARO,"0,00",1,,"0,00",
CO2606-5163,5849,4,408 - PATAS TIPO L,"0,00",1,,"0,00",
CO2606-5163,5849,5,705 - 2 ALMOHADA OBSEQUIO,"0,00",1,,"0,00",
CO2606-5163,5849,6,CAMAS - BL + LINEAL VERTICAL SIN MARCO MATRIMONIAL - OTTOMAN - GRIS CLARO - PATAS TIPO L - 2 ALMOHADA OBSEQUIO -,"230,00",1,30%,"161,00",
CO2606-5163,5849,7,794 - DELUXE SIN PILLOW - COBARCA - MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5163,5849,8,COLCHONES - DELUXE SIN PILLOW - COBARCA - MATRIMONIAL -,"340,00",1,29%,"241,40",
CO2606-5206,5850,1,785 - ECOFLEX 1 PILLOW - COBARCA - MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5206,5850,2,COLCHONES - ECOFLEX 1 PILLOW - COBARCA - MATRIMONIAL - di tienda,"295,00",1,,"295,00",
CO2606-5164,5851,1,10003 - BAMBOO - INDIVIDUAL,"0,00",1,,"0,00",
CO2606-5164,5851,2,"COLCHONES - - BAMBOO - INDIVIDUAL *medidas de 0,80 x 1.90cm*","170,00",1,,"170,00",
CO2606-5165,5852,1,DETROIT__NEW_GRIS_CON_MARRON - DETROIT NEW GAVETERO GRIS CON MARRON,"0,00",1,,"0,00",
CO2606-5165,5852,2,CLOSET - DETROIT NEW GAVETERO GRIS CON MARRON,"350,00",1,,"350,00",
CO2606-5165,5852,3,508-90 - 508-90 GAVETERO MARRON OSCURO,"0,00",1,,"0,00",
CO2606-5165,5852,4,CLOSET - 508-90 GAVETERO Blanco,"250,00",1,,"250,00",
CO2606-5165,5852,5,1000 - SERVICIO DELIVERY,"0,00",1,,"0,00",
CO2606-5165,5852,6,DELIVERY - SERVICIO DELIVERY,"15,00",1,,"15,00",
CO2606-5208,5853,1,654 - EURO PILLOW - SERTA - INDIVIDUAL,"0,00",1,,"0,00",
CO2606-5208,5853,2,COLCHONES - EURO PILLOW - SERTA - matrimonial -,"490,00",1,,"490,00",
CO2606-5166,5854,1,"11 - BL + BARCELONA QUEEN 1,60 x 1,90","0,00",1,,"0,00",
CO2606-5166,5854,2,405 - ZAFIRO,"0,00",1,,"0,00",
CO2606-5166,5854,3,439 - GRIS PLOMO,"0,00",1,,"0,00",
CO2606-5166,5854,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2606-5166,5854,5,"CAMAS - BL + BARCELONA QUEEN 1,60 x 1,90 - ZAFIRO - GRIS PLOMO - PATAS DECORATIVAS - di tienda","290,00",1,,"290,00",
CO2606-5167,5855,1,5504 - BL + LINEAL MIXTA MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5167,5855,2,389 - GAMUZA ELEFANTE,"30,20",1,,"30,20",
CO2606-5167,5855,3,437 - GRIS CLARO,"0,00",1,,"0,00",
CO2606-5167,5855,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2606-5167,5855,5,CAMAS - BL + barcelona matrimonial- GAMUZA ELEFANTE - azul marino - PATAS DECORATIVAS - -,"230,00",1,,"230,00",
CO2606-5167,5855,6,DELIVERY -,"14,97",1,,"14,97",
CO2606-5168,5856,1,798 - DELUXE 2 PILLOW - COBARCA - MATRIMONIAL,"0,00",1,,"0,00",
CO2606-5168,5856,2,COLCHONES - DELUXE 2 PILLOW - COBARCA - MATRIMONIAL -,"380,00",1,,"380,00",
CO2606-5169,5857,1,"901 - BL + OSTRA sh INDIVIDUAL 1,00 x 1,90","0,00",1,,"0,00",
CO2606-5169,5857,2,393 - OTTOMAN,"0,00",1,,"0,00",
CO2606-5169,5857,3,421 - BATY BATY,"0,00",1,,"0,00",
CO2606-5169,5857,4,407 - PATAS DECORATIVAS,"0,00",1,,"0,00",
CO2606-5169,5857,5,"CAMAS - BL + OSTRA sh INDIVIDUAL 1,00 x 1,90 - OTTOMAN - BATY BATY - PATAS DECORATIVAS - -","240,00",1,,"240,00",
CO2606-5170,5858,1,479 - ALEJANDRA CABEZALES RECLINABLES CHEILO DERECHO,"0,00",1,,"0,00",
CO2606-5170,5858,2,394 - ZELANDA,"61,25",1,,"61,25",
CO2606-5170,5858,3,447 - MOSTAZA,"0,00",1,,"0,00",
CO2606-5170,5858,4,408 - PATAS TIPO L,"0,00",1,,"0,00",
CO2606-5170,5858,5,MUEBLES - ALEJANDRA CABEZALES RECLINABLES CHEILO DERECHO - ZELANDA - MOSTAZA - PATAS TIPO L -,"745,00",1,25%,"558,75",
(PROV5859),5859,1,518 - NATHALY CHEILO IZQUIERDO,,0.00,,,
(PROV5859),5859,2,383 - TAPI SWEET (CASTILLO),,0.00,,,
(PROV5859),5859,3,379 - GRIS AHUMADO,,0.00,,,
(PROV5859),5859,4,408 - PATAS TIPO L,,0.00,,,
(PROV5859),5859,5,MUEBLES - NATHALY CHEILO IZQUIERDO - TAPI SWEET (CASTILLO) - GRIS AHUMADO - PATAS TIPO L - *combinado con tapi sweet negro en la base del mueble y cojines con asientos en gris ahumado*,,720.00,,,
